14000510 Myron Dionysios  Paul 291 CabinJohn 16377 1052.00   
14000740 Floyd Charis  Atkinson 463 Grahamtown 40569 262.00    
14000772 Berg Paulos  Vincent 399 Ilchester 20633 616.00    
14001118 Lindsey Calandra  Kirk 341 Westphalia 19401 443.00    
14001146 Brandon Kali  Lynch 355 Fairview 18953 578.00    
14001163 Constantinides Dan  Haigh 226 Verroia 35193 303.00    
14001186 Hudson Vernandos  Chambers 157 Solomons 28697 504.00    
14001675 Strauss Thetis  Parry 183 Urbana 24105 1280.00   
14001686 Fitzgerald Sally  Redman 176 EaklesMill 20297 494.00    
14001773 Manago Aristides  Aldred 152 GlennDale 41017 524.00    
14001935 Moss Veronica  Flynn 242 MiddleRiver 31945 1098.00   
14001947 Dennis Candace  Mackenzie 398 Shaft 31273 462.00    
14002610 Adler Kathryn  Farmer 271 Tilghmanton 34633 639.00    
14003009 Parks Tonya  Sloan 118 Chillum 42585 343.00    
14003680 Godfrey Brandon  Stanley 417 Chania 12569 308.00    
14003840 Byrne Cathy  Morley 348 CampSprings 33737 218.00    
14004216 Pate Delfina  Mcguire 198 LexingtonPark 18057 997.00    
14004374 Stout Kelly  English 273 Lochearn 41241 548.00    
14004552 Teresi Altair  Bloom 181 Charlton 31833 177.00    
14005252 Kalivas Delphina  Mair 338 Bryantown 27465 605.00    
14005584 Carr Athanasios  Hartley 314 BrooklynPark 25449 677.00    
14005714 Chondroyannos Cosima  Peel 450 Danville 40121 1130.00   
14006399 Venizelos Herman  Cook 366 SpringRidge 14361 297.00    
14006614 Pallas Leda  Currie 205 Rawlings 36425 349.00    
14006709 Hawkins Lewis  Simmonds 253 Chania 22873 522.00    
14006904 Maimonides Meredith  Watson 289 PotomacHeights 22649 749.00    
14006938 Osborne Brett  Macgregor 284 Zihlman 16937 335.00    
14007007 Blum Alvin  Braithwaite 257 WalkerMill 22985 115.00    
14007247 Ganis Jennifer  Bonner 142 BrooklynPark 15369 969.00    
14011022 Berman Stacey  Rooney 429 Layhill 36201 1169.00   
14011532 Elliott Tracy  Odling 464 Tolchester 34745 1149.00   
14012036 Haas Maichail  Aitken 180 Adelphi 31385 434.00    
14012729 Hartman Kaly  Mcdonald 422 Rosaryville 26681 543.00    
14014378 Markos Franklin  Swan 471 Darnestown 32057 104.00    
14015084 Bolton Charlie  Wallis 319 Breathedsville 16377 730.00    
14015312 Blalock Sharon  Peacock 300 WestDenton 30601 437.00    
14015447 McLamb Dwight  Ashton 410 Solomons 39113 814.00    
14015758 Li Danny  Grimes 201 Brookmont 26457 1004.00   
14015765 Papakonstantinou Carl  Wallis 419 Seabrook 31945 1234.00   
14015846 Stevens Alekos  Rudd 463 CharlotteHall 17385 444.00    
14016609 Arvanitis Jacqueline  Thomson 242 Dunkirk 12793 577.00    
14016866 Small Altair  Mcintyre 267 Kozani 23209 855.00    
14017376 Boosalis Leiandros  Howell 345 Cavetown 45833 661.00    
